,cid,AADT
0,19.0,6200.0
1,22.0,1700.0
2,31.0,1500.0
3,195.0,7500.0
4,223.0,19000.0
5,228.0,13000.0
6,252.0,1800.0
7,260.0,5700.0
8,265.0,1200.0
9,278.0,1000.0
10,372.0,1200.0
11,513.0,2600.0
12,550.0,1200.0
13,552.0,1900.0
14,614.0,1500.0
15,635.0,3300.0
16,648.0,18000.0
17,724.0,440.0
18,758.0,10000.0
19,778.0,1700.0
20,780.0,1500.0
21,832.0,0.0
22,926.0,7000.0
23,928.0,0.0
24,937.0,2200.0
25,940.0,4800.0
26,951.0,2400.0
27,952.0,0.0
28,981.0,17000.0
29,990.0,880.0
30,991.0,7800.0
31,996.0,23000.0
32,1041.0,1900.0
33,1043.0,2900.0
34,1073.0,470.0
35,1078.0,3300.0
36,1089.0,880.0
37,1131.0,1200.0
38,1167.0,6300.0
39,1216.0,2100.0
40,1223.0,15000.0
41,1238.0,4000.0
42,1273.0,2200.0
43,1369.0,18000.0
44,1518.0,5200.0
